jenis_ikan_nama_latin,jenis_ikan,nama_latin,kode_fao,kelompok_sdi
Abalon - Haliotis Asinina,Abalon,Haliotis Asinina,LIY,binatang lunak
Abalon - Haliotis Diversicolor Squamata,Abalon,Haliotis Diversicolor Squamata,,binatang lunak
Abalon - Haliotis Fulgens,Abalon,Haliotis Fulgens,HRW,binatang lunak
Abalon - Haliotis Iris,Abalon,Haliotis Iris,DZS,binatang lunak
Abalon - Haliotis Laevigata,Abalon,Haliotis Laevigata,UQK,binatang lunak
Abalon - Haliotis Midae,Abalon,Haliotis Midae,ABP,binatang lunak
Abalon - Haliotis Tuberculata,Abalon,Haliotis Tuberculata,HLT,binatang lunak
Abalon - Vivere Haliotis,Abalon,Vivere Haliotis,,binatang lunak
Albakora - Thunnus Alalunga,Albakora,Thunnus Alalunga,ALB,Pelagis Besar
Alu-Alu - Sphyraena Obtusata,Alu-Alu,Sphyraena Obtusata,YRB,Pelagis Kecil
Alu-Alu Besar - Sphyraena Barracuda,Alu-Alu Besar,Sphyraena Barracuda,GBA,Pelagis Kecil
Alu-Alu Gigi Gergaji - Sphyraena Putnamae,Alu-Alu Gigi Gergaji,Sphyraena Putnamae,BAN,Pelagis Kecil
Alu-Alu Jelo - Sphyraena Jello,Alu-Alu Jelo,Sphyraena Jello,BAC,Pelagis Kecil
Alu-Alu Mata Besar - Sphyraena Forsteri,Alu-Alu Mata Besar,Sphyraena Forsteri,YBS,Pelagis Kecil
Alu-Alu Sirip Hitam - Sphyraena Qenie,Alu-Alu Sirip Hitam,Sphyraena Qenie,BAB,Pelagis Kecil
Ambangan - Acropoma Argentistigma,Ambangan,Acropoma Argentistigma,FDC,Demersal
Ambangan Buntet - Beryx Decadactylus,Ambangan Buntet,Beryx Decadactylus,BXD,Demersal
Ambangan Hitam Berduri - Acanthopagrus Pacificus,Ambangan Hitam Berduri,Acanthopagrus Pacificus,,Demersal
Ambangan Merah Bintik Biru - Pagrus Auratus,Ambangan Merah Bintik Biru,Pagrus Auratus,GSU,Demersal
Ambangan Merah Moncong Kuning - Dentex Carpenteri,Ambangan Merah Moncong Kuning,Dentex Carpenteri,,Demersal
Ambangan Merah Punggung Kuning - Dentex Spariformis,Ambangan Merah Punggung Kuning,Dentex Spariformis,,Demersal
Ande Ande - Grammatorcynus Bilineatus,Ande Ande,Grammatorcynus Bilineatus,DBM,Demersal
Anemon Condylactis Gigantea - Condylactis Gigantea,Anemon Condylactis Gigantea,Condylactis Gigantea,,ikan karang
Anemon Entacmea Quadricolor - Entacmaea Quadricolor,Anemon Entacmea Quadricolor,Entacmaea Quadricolor,,ikan karang
Anggur Laut - Caulerpa Webbiana,Anggur Laut,Caulerpa Webbiana,,tumbuhan air lainnya
Angler - Lophius Piscatorius,Angler,Lophius Piscatorius,MON,demersal
Anjer Eye-Bar Goby - Gnatholepis Anjerensis,Anjer Eye-Bar Goby,Gnatholepis Anjerensis,GTC,ikan karang
Anthias - Dactylanthias Aplodactylus,Anthias,Dactylanthias Aplodactylus,,ikan karang
Antoan - Caesio Xanthonota,Antoan,Caesio Xanthonota,IHA,Ikan Karang
Artemia - Artemia Salina,Artemia,Artemia Salina,AMS,binatang berkulit keras
Asin Pakang - Thryssa Kammalensis,Asin Pakang,Thryssa Kammalensis,EYK,Pelagis Kecil
Ayama-Ayam Largescale - Canthidermis Macrolepis,Ayama-Ayam Largescale,Canthidermis Macrolepis,NHR,ikan karang
Ayam-Ayam - Cantheschenia Longipinnis,Ayam-Ayam,Cantheschenia Longipinnis,,demersal
Ayam-Ayam - Canthidermis Sufflamen,Ayam-Ayam,Canthidermis Sufflamen,CZT,ikan karang
Ayam-Ayam - Oligoplites Saurus,Ayam-Ayam,Oligoplites Saurus,OLI,ikan karang
Ayam-Ayam Boomerang - Sufflamen Bursa,Ayam-Ayam Boomerang,Sufflamen Bursa,,ikan karang
Ayam-Ayam Broom - Amanses Scopas,Ayam-Ayam Broom,Amanses Scopas,NSK,ikan karang
Ayam-Ayam Fanbelly - Monacanthus Chinensis,Ayam-Ayam Fanbelly,Monacanthus Chinensis,MNK,ikan karang
Ayam-Ayam Finescale - Balistes Polylepis,Ayam-Ayam Finescale,Balistes Polylepis,BIY,demersal
Ayam-Ayam Greenfin - Thamnaconus Septentrionalis,Ayam-Ayam Greenfin,Thamnaconus Septentrionalis,KSE,demersal
Ayam-Ayam Grey - Balistes Capriscus,Ayam-Ayam Grey,Balistes Capriscus,TRG,ikan karang
Ayam-Ayam Gulf - Paramonacanthus Arabicus,Ayam-Ayam Gulf,Paramonacanthus Arabicus,QZR,demersal
Ayam-Ayam Hairfin - Paramonacanthus Japonicus,Ayam-Ayam Hairfin,Paramonacanthus Japonicus,,ikan karang
Ayam-Ayam Large-Scaled Leather - Cantheschenia Grandisquamis,Ayam-Ayam Large-Scaled Leather,Cantheschenia Grandisquamis,AHQ,ikan karang
Ayam-Ayam Manyspot - Thamnaconus Tesselatus,Ayam-Ayam Manyspot,Thamnaconus Tesselatus,,demersal
Ayam-Ayam Pig Faced Leather Jacket - Paramonacanthus Choirocephalus,Ayam-Ayam Pig Faced Leather Jacket,Paramonacanthus Choirocephalus,QZQ,ikan karang
Ayam-Ayam Pot-Bellied - Pseudomonacanthus Peroni,Ayam-Ayam Pot-Bellied,Pseudomonacanthus Peroni,,ikan karang
Ayam-Ayam Prickly - Chaetodermis Penicilligerus,Ayam-Ayam Prickly,Chaetodermis Penicilligerus,HDE,ikan karang
